Реестровый номер заказа; Способ размещения заказа; Наименование заказа; Номер лота; Наименование лота; Начальная (максимальная) цена контракта (лота); Код валюты; Классификация по ОКДП; Организация, размещающая заказ; Дата публикации; Дата последнего события; Этап размещения заказа; Особенности размещения заказа; Дата начала подачи заявок; Дата окончания подачи заявок
'0173100008613000062'; Открытый конкурс; Открытый конкурс на право заключить государственный контракт на мониторинг интернет - пространства и  информационную оптимизацию системы порталов малого и среднего предпринимательства в рамках государственной поддержки субъектов малого и среднего предпринимательства ; ; ; 4 200 000,00; RUB; 7320000: Интеллектуальная продукция, услуги по исследованиям и разработкам, нефинансовые нематериальные активы в области общественных и гуманитарных наук; Министерство экономического развития Российской Федерации; 07.03.2013; 07.03.2013; Подача заявок; Преимущество для учреждений  и предприятий  уголовно - исполнительной системы в отношении предлагаемой цены контракта.Для субъектов малого предпринимательства.Преимущество для организаций инвалидов в отношении предлагаемой цены контракта .; 07.03.2013; 09.04.2013
'0129300020413000002'; Открытый конкурс; по отбору подрядной организации для выполнения работ по объекту: «Разработка схемы теплоснабжения с выполнением ее электронной модели в административных границах городского округа город Михайловка Волгоградской области на период 2013- 2028 годов»; ; ; 3 600 000,00; RUB; 7421020: Инженерные услуги в области гражданского и промышленного строительства; администрация городского округа город Михайловка; 07.03.2013; 07.03.2013; Подача заявок; Преимущество для учреждений  и предприятий  уголовно - исполнительной системы в отношении предлагаемой цены контракта.Для субъектов малого предпринимательства.Преимущество для организаций инвалидов в отношении предлагаемой цены контракта .; 07.03.2013; 08.04.2013
'0373100078113000003'; Открытый конкурс; Открытый конкурс 01/ОК/13 на право заключения государственных контрактов на оказание комплекса услуг по продвижению и сопровождению программ «Менеджмент в спортивной индустрии», «Менеджмент в шоу-бизнесе» по 9-ти лотам для нужд федерального государственного бюджетного образовательного учреждения высшего профессионального образования "Государственный университет управления"; Лот №1; Оказание комплекса услуг по привлечению в федеральное государственное бюджетное образовательное учреждение высшего профессионального образования «Государственный университет управления» учащихся средних образовательных школ и обучающихся в системе средне-профессионального образования и продвижению программы «Менеджмент в спортивной индустрии» профиль «Менеджмент организаций» на рынке образовательных услуг»; 2 742 000,00; RUB; 7430000: Услуги в области рекламы, 8030000: Услуги в области высшего профессионального образования; федеральное государственное бюджетное образовательное учреждение высшего профессионального образования "Государственный университет управления"; 07.03.2013; 07.03.2013; Подача заявок; Преимущество для учреждений  и предприятий  уголовно - исполнительной системы в отношении предлагаемой цены контракта.Для субъектов малого предпринимательства.Преимущество для организаций инвалидов в отношении предлагаемой цены контракта .; 07.03.2013; 08.04.2013
'0373100078113000003'; Открытый конкурс; Открытый конкурс 01/ОК/13 на право заключения государственных контрактов на оказание комплекса услуг по продвижению и сопровождению программ «Менеджмент в спортивной индустрии», «Менеджмент в шоу-бизнесе» по 9-ти лотам для нужд федерального государственного бюджетного образовательного учреждения высшего профессионального образования "Государственный университет управления"; Лот №2; Оказание комплекса услуг федеральному государственному бюджетному образовательному учреждению высшего профессионального образования «Государственный университет управления» по сопровождению студентов, обучающихся на 2 (втором) курсе 2012 - 2013 учебного года по основной образовательной программе «Менеджмент в спортивной индустрии» профиль «Менеджмент организаций»; 1 134 000,00; RUB; 7430000: Услуги в области рекламы, 8030000: Услуги в области высшего профессионального образования; федеральное государственное бюджетное образовательное учреждение высшего профессионального образования "Государственный университет управления"; 07.03.2013; 07.03.2013; Подача заявок; Преимущество для учреждений  и предприятий  уголовно - исполнительной системы в отношении предлагаемой цены контракта.Для субъектов малого предпринимательства.Преимущество для организаций инвалидов в отношении предлагаемой цены контракта .; 07.03.2013; 08.04.2013
'0373100078113000003'; Открытый конкурс; Открытый конкурс 01/ОК/13 на право заключения государственных контрактов на оказание комплекса услуг по продвижению и сопровождению программ «Менеджмент в спортивной индустрии», «Менеджмент в шоу-бизнесе» по 9-ти лотам для нужд федерального государственного бюджетного образовательного учреждения высшего профессионального образования "Государственный университет управления"; Лот №3; Оказание комплекса услуг федеральному государственному бюджетному образовательному учреждению высшего профессионального образования «Государственный университет управления» по сопровождению студентов, обучающихся на 3 (третьем) курсе 2012 - 2013 учебного года по основной образовательной программе «Менеджмент в спортивной индустрии» профиль «Менеджмент организаций»; 1 782 000,00; RUB; 7430000: Услуги в области рекламы, 8030000: Услуги в области высшего профессионального образования; федеральное государственное бюджетное образовательное учреждение высшего профессионального образования "Государственный университет управления"; 07.03.2013; 07.03.2013; Подача заявок; Преимущество для учреждений  и предприятий  уголовно - исполнительной системы в отношении предлагаемой цены контракта.Для субъектов малого предпринимательства.Преимущество для организаций инвалидов в отношении предлагаемой цены контракта .; 07.03.2013; 08.04.2013
'0373100078113000003'; Открытый конкурс; Открытый конкурс 01/ОК/13 на право заключения государственных контрактов на оказание комплекса услуг по продвижению и сопровождению программ «Менеджмент в спортивной индустрии», «Менеджмент в шоу-бизнесе» по 9-ти лотам для нужд федерального государственного бюджетного образовательного учреждения высшего профессионального образования "Государственный университет управления"; Лот №4; Оказание комплекса услуг федеральному государственному бюджетному образовательному учреждению высшего профессионального образования «Государственный университет управления» по сопровождению студентов, обучающихся на 4 (четвертом) курсе 2012 - 2013 учебного года по основной образовательной программе «Менеджмент в спортивной индустрии» профиль «Менеджмент организаций»; 1 539 000,00; RUB; 7430000: Услуги в области рекламы, 8030000: Услуги в области высшего профессионального образования; федеральное государственное бюджетное образовательное учреждение высшего профессионального образования "Государственный университет управления"; 07.03.2013; 07.03.2013; Подача заявок; Преимущество для учреждений  и предприятий  уголовно - исполнительной системы в отношении предлагаемой цены контракта.Для субъектов малого предпринимательства.Преимущество для организаций инвалидов в отношении предлагаемой цены контракта .; 07.03.2013; 08.04.2013
'0373100078113000003'; Открытый конкурс; Открытый конкурс 01/ОК/13 на право заключения государственных контрактов на оказание комплекса услуг по продвижению и сопровождению программ «Менеджмент в спортивной индустрии», «Менеджмент в шоу-бизнесе» по 9-ти лотам для нужд федерального государственного бюджетного образовательного учреждения высшего профессионального образования "Государственный университет управления"; Лот №5; Оказание комплекса услуг по привлечению в федеральное государственное бюджетное образовательное учреждение высшего профессионального образования «Государственный университет управления» учащихся средних образовательных школ и обучающихся в системе средне-профессионального образования и продвижению программы «Менеджмент в шоу-бизнесе» профиль «Менеджмент организаций» на рынке образовательных услуг»; 2 742 000,00; RUB; 7430000: Услуги в области рекламы, 8030000: Услуги в области высшего профессионального образования; федеральное государственное бюджетное образовательное учреждение высшего профессионального образования "Государственный университет управления"; 07.03.2013; 07.03.2013; Подача заявок; Преимущество для учреждений  и предприятий  уголовно - исполнительной системы в отношении предлагаемой цены контракта.Для субъектов малого предпринимательства.Преимущество для организаций инвалидов в отношении предлагаемой цены контракта .; 07.03.2013; 08.04.2013
'0373100078113000003'; Открытый конкурс; Открытый конкурс 01/ОК/13 на право заключения государственных контрактов на оказание комплекса услуг по продвижению и сопровождению программ «Менеджмент в спортивной индустрии», «Менеджмент в шоу-бизнесе» по 9-ти лотам для нужд федерального государственного бюджетного образовательного учреждения высшего профессионального образования "Государственный университет управления"; Лот №6; Оказание комплекса услуг федеральному государственному бюджетному образовательному учреждению высшего профессионального образования «Государственный университет управления» по сопровождению студентов, обучающихся на 2 (втором) курсе 2012 - 2013 учебного года по основной образовательной программе «Менеджмент в шоу-бизнесе» профиль «Менеджмент организаций»; 810 000,00; RUB; 7430000: Услуги в области рекламы, 8030000: Услуги в области высшего профессионального образования; федеральное государственное бюджетное образовательное учреждение высшего профессионального образования "Государственный университет управления"; 07.03.2013; 07.03.2013; Подача заявок; Преимущество для учреждений  и предприятий  уголовно - исполнительной системы в отношении предлагаемой цены контракта.Для субъектов малого предпринимательства.Преимущество для организаций инвалидов в отношении предлагаемой цены контракта .; 07.03.2013; 08.04.2013
'0373100078113000003'; Открытый конкурс; Открытый конкурс 01/ОК/13 на право заключения государственных контрактов на оказание комплекса услуг по продвижению и сопровождению программ «Менеджмент в спортивной индустрии», «Менеджмент в шоу-бизнесе» по 9-ти лотам для нужд федерального государственного бюджетного образовательного учреждения высшего профессионального образования "Государственный университет управления"; Лот №7; Оказание комплекса услуг федеральному государственному бюджетному образовательному учреждению высшего профессионального образования «Государственный университет управления» по сопровождению студентов, обучающихся на 3 (третьем) курсе 2012 - 2013 учебного года по основной образовательной программе «Менеджмент в шоу-бизнесе» профиль «Менеджмент организаций»; 1 458 000,00; RUB; 7430000: Услуги в области рекламы, 8030000: Услуги в области высшего профессионального образования; федеральное государственное бюджетное образовательное учреждение высшего профессионального образования "Государственный университет управления"; 07.03.2013; 07.03.2013; Подача заявок; Преимущество для учреждений  и предприятий  уголовно - исполнительной системы в отношении предлагаемой цены контракта.Для субъектов малого предпринимательства.Преимущество для организаций инвалидов в отношении предлагаемой цены контракта .; 07.03.2013; 08.04.2013
'0373100078113000003'; Открытый конкурс; Открытый конкурс 01/ОК/13 на право заключения государственных контрактов на оказание комплекса услуг по продвижению и сопровождению программ «Менеджмент в спортивной индустрии», «Менеджмент в шоу-бизнесе» по 9-ти лотам для нужд федерального государственного бюджетного образовательного учреждения высшего профессионального образования "Государственный университет управления"; Лот №8; Оказание комплекса услуг федеральному государственному бюджетному образовательному учреждению высшего профессионального образования «Государственный университет управления» по сопровождению студентов, обучающихся на 4 (четвертом) курсе 2012 - 2013 учебного года по основной образовательной программе «Менеджмент в шоу-бизнесе» профиль «Менеджмент организаций»; 1 701 000,00; RUB; 7430000: Услуги в области рекламы, 8030000: Услуги в области высшего профессионального образования; федеральное государственное бюджетное образовательное учреждение высшего профессионального образования "Государственный университет управления"; 07.03.2013; 07.03.2013; Подача заявок; Преимущество для учреждений  и предприятий  уголовно - исполнительной системы в отношении предлагаемой цены контракта.Для субъектов малого предпринимательства.Преимущество для организаций инвалидов в отношении предлагаемой цены контракта .; 07.03.2013; 08.04.2013
