Дата публикации;Номер извещения;Заказчик;Предмет контракта;Начальная цена;URL извещения;Способ размещения заказа;Дата начала приёма заявок;Дата окончания приёма заявок;Дата проведения аукциона;Адрес заказчика;Телефон заказчика;Электронная почта заказчика;Контактное лицо заказчика;ИНН заказчика;КПП заказчика;ОГРН заказчика;Организатор торгов
01.03.2013;5564330;Министерство финансов Республики Адыгея;№ 19о - А оказание услуг по изготовлению и ремонту зубных протезов (кроме изделий из драгоценных металлов и металлокерамики) отдельным категориям жителей Республики Адыгея;386 400,00р.;http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=5564330;Открытый аукцион в электронной форме;14.03.2013;11.03.2013;;Российская Федерация, 385000, Адыгея Респ, Майкоп г, Пионерская, 199, -;8-8772-522038;zakupki-ra@minfin-maykop.ru;Балабуева Татьяна Владимировна;;;;Министерство финансов Республики Адыгея
01.03.2013;5564407;Министерство финансов Республики Адыгея;"№187 - А Поставка  противотуберкулезных лекарственных препаратов в рамках реализации  мероприятий ведомственной целевой программы  ""Предупреждение и борьба с  социально значимыми заболеваниями»  на 2о13 - 2о15 годы";499 624,00р.;http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=5564407;Открытый аукцион в электронной форме;12.03.2013;11.03.2013;;Российская Федерация, 385000, Адыгея Респ, Майкоп г, Пионерская, 199, -;8-772-570301;zakupki-ra@minfin-maykop.ru;Басирбиев Тимур Меджидович;;;;Министерство финансов Республики Адыгея
01.03.2013;5564492;Министерство финансов Республики Адыгея;№ 191 - А Выполнение работ по изготовлению протезно-ортопедических изделий и ортопедической обуви для отдельных категории жителей Республики Адыгея.;1 270 000,00р.;http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=5564492;Открытый аукцион в электронной форме;14.03.2013;11.03.2013;;Российская Федерация, 385000, Адыгея Респ, Майкоп г, Пионерская, 199, -;8-8772-522038;zakupki-ra@minfin-maykop.ru;Балабуева Татьяна Владимировна;;;;Министерство финансов Республики Адыгея
01.03.2013;5564644;Министерство финансов Республики Адыгея;"№ 192 - А Оказание полиграфических услуг по печати газеты ""Адыгэ макъ"" в 2о13 году";1 049 105,00р.;http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=5564644;Открытый аукцион в электронной форме;14.03.2013;11.03.2013;;Российская Федерация, 385000, Адыгея Респ, Майкоп г, Пионерская, 199, -;8-8772-522038;zakupki-ra@minfin-maykop.ru;Балабуева Татьяна Владимировна;;;;Министерство финансов Республики Адыгея
01.03.2013;5564772;Министерство финансов Республики Адыгея;№ 193 - А Поставка лекарственных средств, влияющих на центральную нервную систему для нужд государственного бюджетного учреждения Республики Адыгея «Майкопский психоневрологический дом-интернат» в 1 полугодии 2о13 года;456 074,00р.;http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=5564772;Открытый аукцион в электронной форме;15.03.2013;11.03.2013;;Российская Федерация, 385000, Адыгея Респ, Майкоп г, Пионерская, 199, -;8-8772-522038;zakupki-ra@minfin-maykop.ru;Балабуева Татьяна Владимировна;;;;Министерство финансов Республики Адыгея
01.03.2013;5564780;Министерство финансов Республики Адыгея;№188 - А Поставка молока и прочих молочных продуктов для нужд ГБУЗРА АРКБ;422 910,09р.;http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=5564780;Открытый аукцион в электронной форме;12.03.2013;11.03.2013;;Российская Федерация, 385000, Адыгея Респ, Майкоп г, Пионерская, 199, -;8-772-570301;zakupki-ra@minfin-maykop.ru;Басирбиев Тимур Меджидович;;;;Министерство финансов Республики Адыгея
01.03.2013;5565177;Министерство финансов Республики Адыгея;№189 - А Поставка мяса для нужд ГБУЗРА АРКБ;217 545,96р.;http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=5565177;Открытый аукцион в электронной форме;12.03.2013;11.03.2013;;Российская Федерация, 385000, Адыгея Респ, Майкоп г, Пионерская, 199, -;8-772-570301;zakupki-ra@minfin-maykop.ru;Басирбиев Тимур Меджидович;;;;Министерство финансов Республики Адыгея
01.03.2013;5565331;Министерство финансов Республики Адыгея;№ 194 - А Поставка лекарственных средств, влияющих на центральную нервную систему для нужд государственного бюджетного учреждения Республики Адыгея «Майкопский психоневрологический дом-интернат» в 1 полугодии 2о13 года;601 694,00р.;http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=5565331;Открытый аукцион в электронной форме;15.03.2013;11.03.2013;;Российская Федерация, 385000, Адыгея Респ, Майкоп г, Пионерская, 199, -;8-8772-522038;zakupki-ra@minfin-maykop.ru;Балабуева Татьяна Владимировна;;;;Министерство финансов Республики Адыгея
01.03.2013;5567331;Министерство финансов Республики Адыгея;№ 195 - А поставка нефтепродуктов для ГБУЗРА «Адыгейская республиканская детская клиническая больница» в 2 квартале 2о13 года;147 090,00р.;http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=5567331;Открытый аукцион в электронной форме;15.03.2013;11.03.2013;;Российская Федерация, 385000, Адыгея Респ, Майкоп г, Пионерская, 199, -;8-8772-570301;vshapkina@minfin-maykop.ru;Шапкина Валерия Сергеевна;;;;Министерство финансов Республики Адыгея
01.03.2013;5567451;Министерство финансов Республики Адыгея;№ 196 - А для субъектов малого предпринимательства на право заключения договора на поставку продуктов мукомольно-крупяного производства для ГБУЗРА Адыгейской  республиканской  клинической больницы;111 870,00р.;http://zakupki.gov.ru/pgz/public/action/orders/info/common_info/show?notificationId=5567451;Открытый аукцион в электронной форме;15.03.2013;11.03.2013;;Российская Федерация, 385000, Адыгея Респ, Майкоп г, Пионерская, 199, -;8-8772-570301;vshapkina@minfin-maykop.ru;Шапкина Валерия Сергеевна;;;;Министерство финансов Республики Адыгея
