 Способ размещения заказа; Наименование заказа; Начальная (максимальная) цена контракта (лота); Организация, размещающая заказ; Этап размещения заказа; Дата начала подачи заявок; Дата окончания подачи заявок
 Запрос котировок; Поставка средств, действующих на вегетативную нервную систему и чувствительные нервные окончания; 497 590,00;" Филиал Федерального государственного бюджетного лечебно-профилактического учреждения ""Лечебно-оздоровительный центр Министерства иностранных дел Российской Федерации""-Больница"; Подача заявок; 21.01.2013; 29.01.2013
 Открытый аукцион в электронной форме; Размещение заказа на поставку антибактериальных средств для нужд заказчика на 1 полугодие 2013 года; 2 744 247,00;" Государственное бюджетное учреждение здравоохранения Псковской области ""Великолукская городская больница"""; Подача заявок; 17.01.2013; 24.01.2013
 Открытый аукцион в электронной форме; Оказание услуг по техническому обслуживанию, эксплуатации лифтового оборудования, гидравлической платформы, диспетчерского пульта с проведением периодического технического освидетельствования лифтов; 5 095 826,90;" Государственное бюджетное учреждение культуры города Москвы ""Московский академический Музыкальный театр имени народных артистов К. С. Станиславского и Вл. И. Немировича-Данченко"""; Подача заявок; 19.01.2013; 08.02.2013
 Открытый аукцион в электронной форме; выполнение работ по замене оконных блоков на блоки ПВХ из энергосберегающих стеклопакетов в дошкольных группах по ул. Волжская 5МБОУ Наримановского района «СОШ №2» ; 1 635 015,00;" муниципальное бюджетное общеобразовательное учреждение Наримановского района ""Средняя общеобразовательная школа № 2"""; Подача заявок; 19.01.2013; 29.01.2013
 Открытый аукцион в электронной форме;" Открытый аукцион в электронной форме на право заключения государственного контракта на поставку расходных материалов медицинского назначения для отделения гемодиализа для аппарата искусственная почка «Фрезениус 5008» (6), для обеспечения ГБУЗ ""Городская клиническая больница № 7 Департамента здравоохранения города Москвы"" в 2013 г."; 2 651 108,00;" Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница № 7 Департамента здравоохранения города Москвы"""; Подача заявок; 19.01.2013; 28.01.2013
 Запрос котировок; Поставка электронно-вычислительной техники ; 500 000,00;" федеральное казенное учреждение ""Центр управления в кризисных ситуациях Центрального регионального центра по делам гражданской обороны, чрезвычайным ситуациям и ликвидации последствий стихийных бедствий"""; Подача заявок; 21.01.2013; 29.01.2013
 Открытый аукцион в электронной форме; Открытый аукцион в электронной форме на право заключения контракта на выполнение работ по нанесению дорожной разметки с применением термопластика на территории районов Донской и Нагатино-Садовники Южного административного округа в 2013 году.; 8 932 633,54;" Государственное казенное учреждение города Москвы ""Дирекция заказчика жилищно-коммунального хозяйства и благоустройства Южного административного округа"""; Подача заявок; 19.01.2013; 11.02.2013
 Открытый аукцион в электронной форме; на право заключить гражданско-правовой договор на оказание услуг по уборке служебных и производственных помещений Филиала Федерального бюджетного учреждения здравоохранения «Центр гигиены и эпидемиологии в Ханты - Мансийском автономном округе -Югре в городе Сургуте и Сургутском районе»; 153 791,00;" Федеральное бюджетное учреждение здравоохранения ""Центр гигиены и эпидемиологии в Ханты-Мансийском автономном округе - Югре"""; Подача заявок; 19.01.2013; 27.01.2013
 Открытый аукцион в электронной форме; Открытый аукцион в электронной форме на право заключения контракта на выполнение работ по нанесению дорожной разметки с применением термопластика на территории районов Нагорный и Братеево Южного административного округа в 2013 году.; 11 330 001,89;" Государственное казенное учреждение города Москвы ""Дирекция заказчика жилищно-коммунального хозяйства и благоустройства Южного административного округа"""; Подача заявок; 19.01.2013; 11.02.2013
 Запрос котировок;  Оказание услуг по выполнению бюллетеней № 30567 БЭ-В и № 30571 БЭ-В на авиационном двигателе Д - 30 III серии.; 237 836,80; Войсковая часть 3553; Подача заявок; 09.01.2013; 17.01.2013
